Date, Open, High, Low, Close, LTP, Settle Price, Turnover(in lacs), OI
13-Dec-16,68.26,68.29,68.2025,68.27,68.29,68.27,1286.58,43094
14-Dec-16,68.22,68.35,68.17,68.2125,68.2,68.2125,1752.79,41590
15-Dec-16,68.48,68.57,68.42,68.56,68.5,68.56,2747.2,44295
16-Dec-16,68.4925,68.545,68.46,68.465,68.4725,68.465,3029.69,44012
19-Dec-16,68.64,68.64,68.43,68.5425,68.56,68.5425,2933.39,44290
20-Dec-16,68.8,68.8,68.51,68.735,68.72,68.735,2489.55,45624
21-Dec-16,68.6,68.63,68.5225,68.5925,68.63,68.5925,1460.62,45641
22-Dec-16,68.54,68.7125,68.5175,68.685,68.655,68.685,3489.9,47278
23-Dec-16,68.51,68.64,68.4675,68.52,68.5075,68.52,1195.26,47496
26-Dec-16,68.5175,68.5625,68.46,68.4825,68.46,68.4825,2742.99,47245
27-Dec-16,68.5325,68.75,68.5325,68.74,68.74,68.74,21633.13,60828
28-Dec-16,68.82,68.8725,68.77,68.84,68.8725,68.84,15086.34,70387
29-Dec-16,68.9,68.94,68.67,68.7225,68.73,68.7225,3448.41,70865
30-Dec-16,68.56,68.6075,68.49,68.555,68.545,68.555,4116.09,71257
2-Jan-17,68.6,68.85,68.55,68.8125,68.85,68.8125,4738.09,73880
3-Jan-17,68.71,68.95,68.66,68.9325,68.925,68.9325,6318.88,76266
4-Jan-17,68.875,68.8775,68.665,68.6775,68.67,68.6775,7864.56,81846
5-Jan-17,68.495,68.6,68.36,68.58,68.5775,68.58,19282.29,94140
6-Jan-17,68.85,68.85,68.4075,68.5875,68.57,68.5875,10888.23,97560
9-Jan-17,68.75,68.9075,68.7275,68.8775,68.87,68.8775,23237.35,117477
10-Jan-17,68.7075,68.835,68.65,68.815,68.82,68.815,12997.85,120125
11-Jan-17,68.82,69.0025,68.8,68.965,68.97,68.965,9218.44,122783
12-Jan-17,68.89,68.89,68.58,68.6925,68.71,68.6925,6867.5,122664
13-Jan-17,68.79,68.875,68.75,68.7875,68.78,68.7875,10775.63,130740
16-Jan-17,68.8625,68.88,68.7,68.7275,68.7,68.7275,2562.58,130674
17-Jan-17,68.66,68.72,68.54,68.55,68.545,68.55,10303.65,132804
18-Jan-17,68.51,68.6675,68.48,68.6475,68.655,68.6475,10989.92,139914
19-Jan-17,68.745,68.825,68.6875,68.7,68.6875,68.7,21273.59,153721
20-Jan-17,68.6,68.7875,68.6,68.7225,68.725,68.7225,14201.58,152447
23-Jan-17,68.61,68.7475,68.4,68.7275,68.745,68.7275,21014.44,160491
24-Jan-17,68.6,68.685,68.59,68.6675,68.66,68.6675,17616.92,164744
25-Jan-17,68.655,68.68,68.555,68.5675,68.58,68.5675,47764.54,193811
27-Jan-17,68.6525,68.715,68.53,68.5525,68.5525,68.5525,74596.13,246349
30-Jan-17,68.535,68.5675,68.4175,68.435,68.4375,68.435,38642.79,260383
31-Jan-17,68.305,68.3625,68.2725,68.33,68.3375,68.33,76656.61,302558
1-Feb-17,68.2,68.2,67.94,67.97,67.95,67.97,130992.45,368764
2-Feb-17,67.8625,67.9425,67.815,67.8375,67.8175,67.8375,87316.23,405260
3-Feb-17,67.7975,67.8425,67.715,67.735,67.73,67.735,60133.6,415202
6-Feb-17,67.6075,67.6475,67.55,67.62,67.625,67.62,67013.63,431659
7-Feb-17,67.695,67.8475,67.665,67.8025,67.8175,67.8025,57686,460428
8-Feb-17,67.755,67.785,67.6175,67.6525,67.63,67.6525,87764.3,493744
9-Feb-17,67.54,67.54,67.26,67.3075,67.275,67.3075,110727.82,533309
10-Feb-17,67.21,67.38,67.1575,67.2575,67.29,67.2575,164942.67,588076
13-Feb-17,67.21,67.4075,67.21,67.385,67.39,67.385,96662.26,627932
14-Feb-17,67.4,67.4,67.2625,67.305,67.2725,67.305,73903.31,657689
15-Feb-17,67.265,67.2975,67.215,67.23,67.22,67.23,111089.8,727667
16-Feb-17,67.26,67.385,67.2125,67.37,67.3775,67.37,139351.58,793312
17-Feb-17,67.39,67.445,67.285,67.355,67.34,67.355,147973.81,845728
20-Feb-17,67.45,67.45,67.2025,67.2225,67.2225,67.2225,238116.28,1003002
22-Feb-17,67.205,67.265,67.1225,67.235,67.23,67.235,418346.06,1297416
23-Feb-17,67.2475,67.2475,67.03,67.0875,67.07,67.0875,803633.36,1622884
27-Feb-17,67.0025,67.01,66.885,66.9675,66.94,66.9675,514721.54,1640059
28-Feb-17,66.995,67.035,66.92,66.9375,66.93,66.9375,367455.89,1650958
1-Mar-17,66.9975,67.1125,66.9625,67.0375,67.04,67.0375,562181.94,1623129
2-Mar-17,66.9575,66.98,66.8725,66.9075,66.9,66.9075,440686.87,1722114
3-Mar-17,67.05,67.07,66.9875,67.0025,67.0025,67.0025,341778.03,1685660
6-Mar-17,66.9475,66.96,66.875,66.8975,66.9,66.8975,383355.54,1703388
7-Mar-17,66.8575,66.865,66.7525,66.845,66.8475,66.845,354140.67,1682079
8-Mar-17,66.7575,66.9175,66.755,66.89,66.89,66.89,429931.45,1628972
9-Mar-17,66.93,66.995,66.8525,66.8675,66.865,66.8675,531501.98,1477832
10-Mar-17,66.7975,66.88,66.6925,66.725,66.7275,66.725,397323.9,1485251
